Resort Name,Nearest City,State/Province,Peak Elevation (ft),Base Elevation (ft),Vertical Drop (ft),Skiable Area (acres),Total Trails,Total Lifts,Average Annual Snowfall (inches)
Timberline Summit Ski Area,Government Camp,Oregon,4306,4000,306,70,3.0,2.0,150
Timberline Lodge,Government Camp,Oregon,8540,4000,"4,540",1430,35.0,9.0,540
Warner Canyon,Lakeview,Oregon,6003,5271,732,200,21.0,1.0,50
Willamette Pass,Oakridge,Oregon,6683,5120,1563,555,29.0,6.0,430
Crested Butte,Crested Butte,Colorado,12170,9115,3055,1547,121.0,16.0,300
Echo Mountain,Evergreen,Colorado,10650,10050,600,226,13.0,2.0,275
Granby Ranch,Granby,Colorado,9202,8202,1000,406,40.0,5.0,220
Hesperus,Durango,Colorado,8888,8200,688,60,26.0,1.0,150
Howelson Hill,Steamboat Springs,Colorado,7136,6696,440,50,17.0,4.0,150
Kendall Mountain,Silverton,Colorado,9540,9300,240,16,11.0,1.0,200
Monarch,Salida,Colorado,11960,10790,1170,800,63.0,5.0,400
Powderhorn Resort,Grand Junction,Colorado,9850,8200,1650,1600,63.0,5.0,250
Purgatory Resort,Durango,Colorado,10822,8793,2029,1200,85.0,10.0,260
Silverton Mountain,Silverton,Colorado,13487,10400,3087,1819,48.0,1.0,450
Sunlight Mountain,Glenwood Springs,Colorado,9895,7885,2010,470,67.0,3.0,250
Cranor Hill Archived 2019-09-30 at the Wayback Machine,Gunnison,Colorado,8500,8100,400,45,4.0,1.0,75
Beaver Mountain,Logan,Utah,8800,7200,1600,667,47.0,5.0,400
Cherry Peak,Richmond,Utah,7050,5775,1265,200,29.0,3.0,322
Eagle Point,Beaver,Utah,10600,9100,1500,650,40.0,5.0,400
Nordic Valley,Ogden,Utah,6400,5440,960,140,23.0,4.0,300
Snowbasin,Huntsville,Utah,9465,6450,3015,3000,118.0,13.0,325
Solitude Mountain,Salt Lake City,Utah,10488,7988,2500,1200,80.0,8.0,500
Sundance Mountain,Provo,Utah,8250,6100,2150,450,44.0,5.0,320
Afton Alps,Afton,Minnesota,700,350,350,300,50.0,22.0,60
Andes Tower Hills,Kensington,Minnesota,1620,1330,290,35,15.0,6.0,55
Buck Hill,Burnsville,Minnesota,1211,949,262,45,16.0,9.0,60
Buena Vista Ski Area,Bemidji,Minnesota,1510,1280,230,30,16.0,5.0,78
Chester Bowl Park,Duluth,Minnesota,875,700,175,6,5.0,1.0,100
Coffee Mill Ski Area,Wabasha,Minnesota,1150,725,425,40,14.0,3.0,48
Giants Ridge,Biwabik,Minnesota,1972,1472,500,202,35.0,7.0,85
Hyland Hills,Bloomington,Minnesota,1075,900,175,35,13.0,6.0,60
Lutsen Mountains,Lutsen,Minnesota,"1,678 ft (511 m)",905 ft (276 m),773 ft (236 m),593,95.0,9.0,115
Mount Kato,Mankato,Minnesota,840,600,240,55,19.0,11.0,50
Powder Ridge,Kimball,Minnesota,850,540,310,60,15.0,6.0,45
Mount Ski Gull,Nisswa,Minnesota,1515,1285,230,40,10.0,5.0,50
Spirit Mountain,Duluth,Minnesota,1298,620,678,175,22.0,8.0,90
Welch Village,Red Wing,Minnesota,1060,700,360,140,60.0,11.0,45
Wild Mountain,Taylors Falls,Minnesota,1113,813,300,100,26.0,9.0,50
Attitash Mountain Resort,North Conway,New Hampshire,2350,600,1750,311`,68.0,9.0,120
Black Mountain Ski Area,Jackson,New Hampshire,2350,1250,1100,143,40.0,5.0,125
Bretton Woods,Bretton Woods,New Hampshire,3100,1600,1500,464,62.0,10.0,200
Cannon Mountain Ski Area,Franconia,New Hampshire,4180,1850,2330,265,73.0,10.0,160
Cranmore Mountain Resort,North Conway,New Hampshire,2000,600,1200,200,54.0,10.0,150
Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1016,75,23.0,5.0,105
Dartmouth Skiway,Lyme,New Hampshire,1943,975,968,104,30.0,4.0,100
Gunstock Mountain Resort,Laconia,New Hampshire,2267,867,1400,227,55.0,6.0,120
King Pine Ski Area,Madison,New Hampshire,850,500,350,48,17.0,6.0,120
Loon Mountain Resort,Lincoln,New Hampshire,3050,950,2100,370,61.0,12.0,163
Mount Sunapee Resort,Claremont,New Hampshire,2743,1230,1513,230,66.0,11.0,100
Pats Peak Ski Area,Henniker,New Hampshire,1460,690,770,103,28.0,11.0,100
Ragged Mountain Resort,Danbury,New Hampshire,2250,1000,1250,250,57.0,6.0,100
Tenney Mountain Resort,Plymouth,New Hampshire,2149,749,1400,110,45.0,3.0,140
Waterville Valley Resort,Waterville Valley,New Hampshire,3840,1820,2020,220,50.0,11.0,150
Whaleback Mountain,Enfield,New Hampshire,1800,1100,700,85,30.0,4.0,110
Wildcat Mountain,Jackson,New Hampshire,4062,1950,2112,225,48.0,5.0,207
Bear Creek Mountain Resort,Macungie,Pennsylvania,1100,590,510,86,23.0,7.0,30
Blue Knob All Seasons Resort,Claysburg,Pennsylvania,3146,2074,1072,100,34.0,6.0,120
Blue Mountain Ski Area,Palmerton,Pennsylvania,1540,458,1082,164,39.0,13.0,33
Camelback Mountain Resort,Scranton,Pennsylvania,2130,1330,800,166,35.0,16.0,50
Elk Mountain Ski Resort,Scranton,Pennsylvania,2667,1742,925,180,27.0,7.0,60
Hidden Valley Resort,Hidden Valley,Pennsylvania,2875,2405,470,110,26.0,11.0,140
Jack Frost - Big Boulder Ski Area,White Haven,Pennsylvania,2000,1400,600,145,35.0,22.0,50
Liberty Mountain Resort,Gettysburg,Pennsylvania,1190,570,620,100,22.0,9.0,31
Mount Pleasant of Edinboro,Edinboro,Pennsylvania,1550,1200,350,35,10.0,2.0,150
Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2994,2240,750,285,40.0,14.0,150
Shawnee Mountain Ski Area,East Stroudsburg,Pennsylvania,1351,700,651,125,23.0,9.0,50
Ski Big Bear,Lackawaxen,Pennsylvania,1250,600,650,26,18.0,7.0,69
Roundtop Mountain Resort,Lewisberry,Pennsylvania,1335,755,600,103,20.0,7.0,30
Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9.0,6.0,20
Ski Sawmill Resort,Morris,Pennsylvania,2215,1700,515,15,14.0,5.0,24
Montage Mountain Resorts,Scranton,Pennsylvania,1960,960,1000,140,26.0,9.0,60
Tussey Mountain Ski and Recreation,State College,Pennsylvania,1750,1230,520,38,7.0,3.0,41
Whitetail Resort,Clear Spring,Pennsylvania,1800,865,935,109,25.0,9.0,40
Alpine Valley Resort,Elkhorn,Wisconsin,1040,820,220,90,20.0,12.0,80
Bruce Mound Winter Sports Area,Merrillan,Wisconsin,1375,1000,375,40,12.0,5.0,42
Cascade Mountain,Portage,Wisconsin,1270,820,450,175,47.0,11.0,56
Christie Mountain,Bruce,Wisconsin,1650,1300,350,45,30.0,5.0,48
Christmas Mountain,Wisconsin Dells,Wisconsin,1250,1000,250,40,16.0,3.0,20
Devil's Head Resort,Baraboo,Wisconsin,1420,930,490,268,28.0,10.0,55
