Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Average annual snowfall (in),Date statistics updated
Blue Mountain,Collingwood,Ontario,1498,756,742,250,34.0,15.0,109,"February 15, 2015[37]"
Mt Bachelor [20],Bend,Oregon,9065,5700,3365,4318,101.0,11.0,462,"September 29, 2019"
Mount Hood Meadows [21],Portland,Oregon,7300,4523,2777,2150,85.0,11.0,430,"December 11, 2019"
Mont-Sainte-Anne,Beaupré,Quebec,2625,575,2050,450,65.0,13.0,187,
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95.0,14.0,156,
Le Massif,Petite-Rivière-Saint-François,Quebec,2645,118,2527,410,48.0,4.0,248,
Brian Head,Brian Head,Utah,11307,9600,1548,650,14.0,8.0,370,"December 11, 2019"
Park City Mountain Resort[38],Park City,Utah,10000,6900,3100,7300,348.0,43.0,360,"December 11, 2019"
Deer Valley,Park City,Utah,9570,6530,3040,4300,202.0,36.0,280,"November 14, 2025"
Brighton Ski Resort [22],Salt Lake City,Utah,10500,8755,1745,1050,66.0,6.0,500,"December 11, 2019"
Alta Ski Area [23],Salt Lake City,Utah,11068,8530,2538,2614,119.0,10.0,546,"November 24, 2023"
Snowbird [24],Salt Lake City,Utah,10992,7760,3240,2500,85.0,13.0,500,"December 11, 2019"
Smugglers' Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78.0,16.0,288,"December 11, 2019"
Windham Mountain,Windham,New York,3100,1500,1600,279,52.0,12.0,100[39],"December 11, 2019"
Hunter Mountain,Hunter,New York,3200,1600,1600,240,58.0,10.0,120[40],"December 11, 2019"
Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155.0,21.0,250,"December 11, 2019"
Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119.0,19.0,200,"December 11, 2019"
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116.0,13.0,333,"December 11, 2019"
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111.0,16.0,269,"December 11, 2019"
Sugarloaf,Carrabassett Valley,Maine,4237,1417,2820,1360,154.0,14.0,200,"December 11, 2019"
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60.0,14.0,180,"December 11, 2019"
Banff Sunshine [25],Banff,Alberta,8954,5440,3514,3358,107.0,12.0,360,"January 19, 2013"
Mt. Norquay [26],Banff,Alberta,8040,5500,1650,190,28.0,5.0,120,"January 19, 2013"
Grouse Mountain [27],North Vancouver,British Columbia,4039,899,1198,212,26.0,5.0,120,"April 2, 2013"
Mount Seymour [28],North Vancouver,British Columbia,4150,935,1083,200,23.0,5.0,394,"April 2, 2013"
Cypress Mountain [29],West Vancouver,British Columbia,4724,2985,2001,600,53.0,6.0,245,"April 2, 2013"
Stevens Pass [30],Stevens Pass,Washington,5845,4061,1800,1125,37.0,10.0,450,"December 11, 2019"
Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135.0,12.0,237,"December 23, 2017"
Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57.0,12.0,350,"December 11, 2019"
Red Mountain Resort [31],Rossland [32],British Columbia,6807,3887,2919,4200,110.0,7.0,300,"February 26, 2019"
Mt Baker [33],Glacier,Washington,5089,3500,1589,1000,31.0,10.0,641,"August 18, 2023"
Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87.0,11.0,168[41],"December 11, 2019"
Powder Mountain,Eden,Utah,"9,422[42]",6900,2205,"8,464[42]",167.0,9.0,500,"December 11, 2019"
Sugar Mountain Resort [34],Banner Elk,North Carolina,5300,4100,1200,120,21.0,8.0,77,"December 11, 2019"
Beech Mountain Resort [35],Beech Mountain,North Carolina,5506,4675,831,95,17.0,8.0,84,"December 11, 2019"
Appalachian Ski Mountain [36],Blowing Rock,North Carolina,4000,3635,365,27,12.0,5.0,27,"December 11, 2019"
Cataloochee Ski Area [37],Maggie Valley,North Carolina,5400,4660,740,50,18.0,5.0,24,"December 11, 2019"
Sapphire Valley Ski Area [38],Sapphire,North Carolina,3400,3200,200,8,3.0,3.0,24,"December 28, 2023[43]"
Wolf Ridge Ski Resort [39],Mars Hill,North Carolina,4700,4000,700,65,15.0,4.0,65,"December 11, 2019"
Aspen Highlands[44],Aspen,Colorado,11675,8040,3635,1024,118.0,5.0,300,"March 5, 2024"
Aspen Mountain[45],Aspen,Colorado,11212,7945,3267,828,104.0,9.0,300,"March 5, 2024[46]"
Buttermilk[47],Aspen,Colorado,9900,7870,2030,454,43.0,5.0,200,"March 5, 2024[46]"
Snowmass[48],Aspen,Colorado,12510,8110,4400,3342,98.0,20.0,300,"March 5, 2023[46]"
Lee Canyon (Ski and Snowboard Resort)[49],Las Vegas,Nevada,11289,8510,860,385,27.0,3.0,161,"December 11, 2019"
Terry Peak,Lead,South Dakota,7064,5930,1134,450,30.0,4.0,150,"December 11, 2019"
Mount Snow [40],Dover,Vermont,3600,1900,1700,600,86.0,20.0,156,"December 11, 2019"
Wintergreen,Charlottesville,Virginia,3515,2512,1003,129,26.0,5.0,35,"December 11, 2019"
Angel Fire Resort [41],Angel Fire,New Mexico,10677,8600,2077,560,80.0,7.0,210,"December 11, 2019"
Bridger Bowl,Bozeman,Montana,8700,6100,2600,2000,75.0,11.0,350,"November 16, 2023"
Turner Mountain,Libby,Montana,5952,3842,2110,1000,22.0,1.0,200,"November 16, 2023"
Discovery,Anaconda,Montana,8158,5770,2388,2200,67.0,8.0,150,"November 16, 2023"
Great Divide,Helena,Montana,7210,5880,1330,1500,140.0,6.0,180,"November 16, 2023"
Showdown,Great Falls,Montana,8200,6800,1400,640,36.0,4.0,240,"November 16, 2023"
Maverick Mountain,Dillon,Montana,8820,6800,2020,350,24.0,2.0,200,"November 16, 2023[50]"
Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60.0,8.0,325,"November 16, 2023"
Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26.0,4.0,250,"November 16, 2023"
Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11.0,2.0,140,"November 16, 2023[51]"
Red Lodge Mountain,Red Lodge,Montana,9416,7016,2400,1635,70.0,7.0,250,"November 16, 2023[52]"
Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39.0,4.0,300,"November 16, 2023"
Teton Pass,Choteau,Montana,7200,6190,1010,114,26.0,2.0,250,"November 16, 2023"
White Pass,Yakima,Washington,6500,4500,2000,1400,45.0,8.0,350,"September 28, 2019"
49 Degrees North,Spokane,Washington,5774,3923,1851,2325,82.0,6.0,300,"September 28, 2019[53]"
Hurricane Ridge,Port Angeles,Washington,5500,4800,700,,10.0,3.0,400,"September 28, 2019"
The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62.0,27.0,435,"September 28, 2019"
Ski Bluewood,Dayton,Washington,5670,4454,1216,530,24.0,3.0,300,"September 28, 2019"
Mount Spokane,Spokane,Washington,5889,3818,2071,1704,52.0,8.0,300,"September 28, 2019"
Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36.0,6.0,200,"September 28, 2019"
Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10.0,3.0,150,"September 28, 2019"
Echo Valley,Chelan,Washington,3900,3000,900,70,6.0,4.0,,"September 28, 2019"
Badger Mountain,Waterville,Washington,3470,3145,325,10,5.0,3.0,120,"September 28, 2019"
Leavenworth Ski Hill,Leavenworth,Washington,1706,1476,230,17,2.0,2.0,,"September 28, 2019"
Meany Lodge,Easton,Washington,,,450,54,32.0,1.0,,"September 28, 2019[54]"
Sitzmark Lifts,Tonasket,Washington,4950,4300,650,,11.0,2.0,,"September 28, 2019[55]"
Mount Eyak,Cordova,Alaska,1200,400,800,100,10.0,2.0,350,"September 28, 2019"
Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40.0,0.0,70,"September 28, 2019"
